Distance, Angle
-0.84,1640.00
-0.84,1639.00
-0.85,1639.00
-0.86,1639.00
-0.86,1642.00
-0.87,1644.00
-0.88,1644.00
-0.88,1644.00
-0.89,1644.00
-0.89,1644.00
-0.90,1644.00
-0.91,1633.00
-0.91,1633.00
-0.92,1633.00
-0.92,1640.00
-0.93,1640.00
-0.94,1640.00
-0.94,1650.00
-0.95,1650.00
-0.96,1650.00
-0.96,1650.00
-0.97,1650.00
-0.97,1648.00
-0.98,1628.00
-0.99,1628.00
-0.99,1628.00
-1.00,1629.00
-1.00,1632.00
-1.01,1633.00
-1.02,1638.00
-1.02,1638.00
-1.03,1638.00
-1.04,1640.00
-1.04,1640.00
-1.05,1638.00
-1.05,1640.00
-1.06,1638.00
-1.07,1636.00
-1.07,1635.00
-1.08,1636.00
-1.08,1635.00
-1.09,1635.00
-1.10,1635.00
-1.10,1635.00
-1.11,1635.00
-1.12,1638.00
-1.12,1643.00
-1.13,1643.00
-1.13,1644.00
-1.14,1644.00
-1.15,1646.00
-1.15,1643.00
-1.16,1646.00
-1.16,1646.00
-1.17,1647.00
-1.18,1648.00
-1.18,1653.00
-1.19,1655.00
-1.20,1663.00
-1.20,1665.00
-1.21,1672.00
-1.21,1672.00
-1.22,1665.00
-1.23,1666.00
-1.23,1666.00
-1.24,1666.00
-1.24,1686.00
-1.25,2092.00
-1.26,7.00
-1.26,0.00
-1.27,0.00
-1.28,0.00
-1.28,0.00
-1.29,0.00
-1.29,0.00
-1.30,0.00
-1.31,0.00
-1.31,0.00
-1.32,0.00
-1.32,2070.00
-1.33,2022.00
-1.34,2022.00
-1.34,2022.00
-1.35,2023.00
-1.35,2027.00
-1.36,2033.00
-1.37,2038.00
-1.37,2047.00
-1.38,2210.00
-1.39,2321.00
-1.39,2326.00
-1.40,2346.00
-1.40,2346.00
-1.41,2346.00
-1.42,2346.00
-1.42,2257.00
-1.43,2257.00
-1.43,2288.00
-1.44,2297.00
-1.45,2288.00
-1.45,2297.00
-1.46,2297.00
-1.47,2297.00
-1.47,7.00
-1.48,15.00
-1.48,2126.00
-1.49,2137.00
-1.50,2137.00
-1.50,2137.00
-1.51,2141.00
-1.51,2144.00
-1.52,2154.00
-1.53,2163.00
-1.53,2167.00
-1.54,2181.00
-1.55,2185.00
-1.55,2191.00
-1.56,2202.00
-1.56,2210.00
-1.57,2215.00
-1.58,2216.00
-1.58,2219.00
-1.59,2222.00
-1.59,2223.00
-1.60,2274.00
-1.61,2289.00
-1.61,2292.00
-1.62,0.00
-1.63,0.00
-1.63,0.00
-1.64,0.00
-1.64,2293.00
-1.65,2259.00
-1.66,2240.00
-1.66,2230.00
-1.67,2210.00
-1.67,2198.00
-1.68,2176.00
-1.69,2167.00
-1.69,2151.00
-1.70,2130.00
-1.71,2115.00
-1.71,2095.00
-1.72,1978.00
-1.72,1960.00
-1.73,1950.00
-1.74,1903.00
-1.74,1900.00
-1.75,1877.00
-1.75,1866.00
-1.76,1865.00
-1.77,1865.00
-1.77,1865.00
-1.78,0.00
-1.79,0.00
-1.79,0.00
-1.80,0.00
-1.80,0.00
-1.81,0.00
-1.82,0.00
-1.82,0.00
-1.83,0.00
-1.83,0.00
-1.84,0.00
-1.85,0.00
-1.85,0.00
-1.86,0.00
-1.87,0.00
-1.87,0.00
-1.88,0.00
-1.88,0.00
-1.89,0.00
-1.90,0.00
-1.90,0.00
-1.91,0.00
-1.91,0.00
-1.92,0.00
-1.93,0.00
-1.93,0.00
-1.94,0.00
-1.94,872.00
-1.95,872.00
-1.96,872.00
-1.96,890.00
-1.97,895.00
-1.98,896.00
-1.98,0.00
-1.99,0.00
-1.99,0.00
-2.00,0.00
-2.01,0.00
-2.01,0.00
-2.02,716.00
-2.02,707.00
-2.03,706.00
-2.04,619.00
-2.04,579.00
-2.05,577.00
-2.06,577.00
-2.06,576.00
-2.07,576.00
-2.07,576.00
-2.08,575.00
-2.09,576.00
-2.09,575.00
